""" Porto Velho""";"""Acima de 1 bilhão"""
""" Ji-Paraná""";"""Acima de 1 bilhão"""
""" Vilhena""";"""Acima de 1 bilhão"""
""" Ariquemes""";"""Acima de 1 bilhão"""
""" Cacoal""";"""Acima de 1 bilhão"""
""" Jaru""";"""Acima de 1 bilhão"""
""" Rolim de Moura""";"""Acima de 1 bilhão"""
""" Pimenta Bueno""";"""Acima de 1 bilhão"""
""" Guajará-Mirim""";"""Acima de 500 milhões"""
""" Ouro Preto do Oeste""";"""Acima de 500 milhões"""
""" Buritis""";"""Acima de 500 milhões"""
""" Machadinho do Oeste""";"""Acima de 500 milhões"""
""" Espigão d'Oeste""";"""Acima de 500 milhões"""
""" São Miguel do Guaporé""";"""Acima de 500 milhões"""
""" Candeias do Jamari""";"""Acima de 500 milhões"""
""" Nova Mamoré""";"""Acima de 500 milhões"""
""" Cerejeiras""";"""Acima de 500 milhões"""
""" Alta Floresta do Oeste""";"""Acima de 300 milhões"""
""" Presidente Médici""";"""Acima de 300 milhões"""
""" Cujubim""";"""Acima de 300 milhões"""
""" Nova Brasilândia do Oeste""";"""Acima de 300 milhões"""
""" Alto Paraíso""";"""Acima de 300 milhões"""
""" São Francisco do Guaporé""";"""Acima de 300 milhões"""
""" Colorado do Oeste""";"""Acima de 300 milhões"""
""" Monte Negro""";"""Acima de 200 milhões"""
""" Alto Alegre dos Parecis""";"""Acima de 200 milhões"""
""" Campo Novo de Rondônia""";"""Acima de 200 milhões"""
""" Alvorada do Oeste""";"""Acima de 200 milhões"""
""" Chupinguaia""";"""Acima de 100 milhões"""
""" Corumbiara""";"""Acima de 100 milhões"""
""" Ministro Andreazza""";"""Acima de 100 milhões"""
""" Urupá""";"""Acima de 100 milhões"""
""" Costa Marques""";"""Acima de 100 milhões"""
""" Seringueiras""";"""Acima de 100 milhões"""
""" Mirante da Serra""";"""Acima de 100 milhões"""
""" Governador Jorge Teixeira""";"""Acima de 100 milhões"""
""" Theobroma""";"""Acima de 100 milhões"""
""" Santa Luzia do Oeste""";"""Acima de 100 milhões"""
""" Novo Horizonte do Oeste""";"""Acima de 100 milhões"""
""" Itapuã do Oeste""";"""Acima de 100 milhões"""
""" Vale do Paraíso""";"""Acima de 100 milhões"""
""" Cacaulândia""";"""Acima de 100 milhões"""
""" Cabixi""";"""Acima de 100 milhões"""
""" Vale do Anari""";"""Acima de 100 milhões"""
""" Nova União""";"""Até 100 milhões"""
""" Parecis""";"""Até 100 milhões"""
""" Rio Crespo""";"""Até 100 milhões"""
""" Pimenteiras do Oeste""";"""Até 100 milhões"""
""" Teixeirópolis""";"""Até 100 milhões"""
""" São Felipe do Oeste""";"""Até 100 milhões"""
""" Castanheiras""";"""Até 100 milhões"""
""" Primavera de Rondônia""";"""Até 100 milhões"""
